model,case_id,subset,group_id,n_modalities,macro_dice
hemis,BRATS_172,t2,sg_cb857fb98a0abf51,1,0.5860273822914556
hemis,BRATS_172,t2+flair,sg_cb857fb98a0abf51,2,0.5906249712275703
hemis,BRATS_219,flair,sg_4634c4d061d30852,1,0.5923951156889532
hemis,BRATS_219,t1,sg_4634c4d061d30852,1,0.37289074446813375
hemis,BRATS_219,t1+flair,sg_4634c4d061d30852,2,0.5572569737536598
hemis,BRATS_219,t1+t1ce,sg_4634c4d061d30852,2,0.732540137911156
hemis,BRATS_219,t1+t1ce+flair,sg_4634c4d061d30852,3,0.7878893344607727
hemis,BRATS_219,t1+t1ce+t2,sg_4634c4d061d30852,3,0.777745497403401
hemis,BRATS_219,t1+t1ce+t2+flair,sg_4634c4d061d30852,4,0.8090810052039626
hemis,BRATS_219,t1+t2,sg_4634c4d061d30852,2,0.533935511945204
hemis,BRATS_219,t1+t2+flair,sg_4634c4d061d30852,3,0.6213156986397516
hemis,BRATS_219,t1ce,sg_4634c4d061d30852,1,0.7247898082230769
hemis,BRATS_219,t1ce+flair,sg_4634c4d061d30852,2,0.8055899172211175
hemis,BRATS_219,t1ce+t2,sg_4634c4d061d30852,2,0.7905477083207672
hemis,BRATS_219,t1ce+t2+flair,sg_4634c4d061d30852,3,0.8262203218934369
hemis,BRATS_219,t2,sg_4634c4d061d30852,1,0.45945159052086826
hemis,BRATS_219,t2+flair,sg_4634c4d061d30852,2,0.609054232258613
hemis,BRATS_230,flair,sg_1669c905c2882ce2,1,0.1378150613306328
hemis,BRATS_230,t1,sg_1669c905c2882ce2,1,0.2112151951949841
hemis,BRATS_230,t1+flair,sg_1669c905c2882ce2,2,0.26398747245845894
hemis,BRATS_230,t1+t1ce,sg_1669c905c2882ce2,2,0.30380305821699677
hemis,BRATS_230,t1+t1ce+flair,sg_1669c905c2882ce2,3,0.3430375598601055
hemis,BRATS_230,t1+t1ce+t2,sg_1669c905c2882ce2,3,0.48344968218589807
hemis,BRATS_230,t1+t1ce+t2+flair,sg_1669c905c2882ce2,4,0.4865116984903585
hemis,BRATS_230,t1+t2,sg_1669c905c2882ce2,2,0.4026240479673601
hemis,BRATS_230,t1+t2+flair,sg_1669c905c2882ce2,3,0.4418600304282792
hemis,BRATS_230,t1ce,sg_1669c905c2882ce2,1,0.2740459858959973
hemis,BRATS_230,t1ce+flair,sg_1669c905c2882ce2,2,0.3732165608858627
